City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,nkhotakota,-12.9274,34.2961,70.7,61,0,2.39,MW,2023-06-07 12:45:09
150,harper,4.375,-7.7169,77.65,89,100,11.48,LR,2023-06-07 12:41:46
151,katav-ivanovsk,54.7531,58.1956,49.35,83,48,3.96,RU,2023-06-07 12:45:10
152,ponte nelle alpi,46.1808,12.2833,73.8,78,92,1.97,IT,2023-06-07 12:45:10
153,sidhauli,27.2833,80.8333,93.56,19,0,4.16,IN,2023-06-07 12:45:10
154,sogod,10.3847,124.9814,78.08,92,97,2.86,PH,2023-06-07 12:45:11
155,waimea,20.0231,-155.6717,68.52,78,15,4.0,US,2023-06-07 12:45:11
156,saint-pierre,-21.3393,55.4781,73.08,68,0,4.61,RE,2023-06-07 12:45:11
157,minas de marcona,-15.2119,-75.1103,66.7,59,5,8.88,PE,2023-06-07 12:45:12
158,vernon,50.2581,-119.2691,77.61,25,0,2.3,CA,2023-06-07 12:45:12
159,ndele,8.4109,20.6473,73.83,84,89,3.65,CF,2023-06-07 12:45:12
160,osorno,-40.5667,-73.15,48.25,87,100,8.05,CL,2023-06-07 12:43:37
161,carauari,-4.8828,-66.8958,82.76,87,67,0.94,BR,2023-06-07 12:45:13
162,ponta delgada,37.7333,-25.6667,68.72,68,40,14.97,PT,2023-06-07 12:45:13
163,hays,30.0502,-98.0336,89.1,57,22,3.0,US,2023-06-07 12:45:13
164,stanley,54.868,-1.6985,53.71,73,75,8.05,GB,2023-06-07 12:41:35
165,port said,31.2565,32.2841,78.78,78,0,4.61,EG,2023-06-07 12:45:14
166,honcho,35.6931,139.9833,76.01,68,95,4.14,JP,2023-06-07 12:45:14
167,hobyo,5.3505,48.5268,80.83,80,99,26.04,SO,2023-06-07 12:45:15
168,constantia,44.1833,28.65,61.7,70,99,9.1,RO,2023-06-07 12:45:15
169,slavyanka,42.8633,131.3847,55.98,98,98,0.6,RU,2023-06-07 12:45:15
170,hamilton,39.1834,-84.5333,76.59,47,40,8.05,US,2023-06-07 12:40:30
171,glace bay,46.1969,-59.957,55.09,92,100,10.36,CA,2023-06-07 12:45:16
172,boende,-0.2167,20.8667,76.68,79,71,1.61,CD,2023-06-07 12:45:16
173,san fernando de apure,7.8878,-67.4724,85.6,73,92,0.74,VE,2023-06-07 12:45:16
174,save,8.0425,2.486,78.1,85,91,7.11,BJ,2023-06-07 12:45:17
175,mishkino,55.3389,63.9175,52.77,90,61,12.06,RU,2023-06-07 12:45:17
176,river falls,44.8614,-92.6238,76.28,57,100,8.12,US,2023-06-07 12:45:17
177,taco pozo,-25.6167,-63.2833,80.47,51,90,6.31,AR,2023-06-07 12:45:18
178,afaahiti,-17.75,-149.2833,73.27,67,72,19.01,PF,2023-06-07 12:45:18
179,donghai,22.9459,115.642,80.51,88,99,4.32,CN,2023-06-07 12:45:18
180,hadibu,12.65,54.0333,85.41,76,100,11.03,YE,2023-06-07 12:45:19
181,hasaki,35.7333,140.8333,67.21,73,100,2.17,JP,2023-06-07 12:45:19
182,tralee,52.2704,-9.7026,70.05,46,0,10.36,IE,2023-06-07 12:45:19
183,westport,41.1415,-73.3579,71.64,48,100,12.66,US,2023-06-07 12:44:43
184,anadyr,64.75,177.4833,41.5,86,75,2.24,RU,2023-06-07 12:45:20
185,alenquer,-1.9417,-54.7383,84.54,72,20,5.84,BR,2023-06-07 12:43:24
186,nicoya,10.1483,-85.452,86.0,71,97,3.91,CR,2023-06-07 12:45:21
187,chinde,26.8418,88.0763,73.04,46,34,4.25,NP,2023-06-07 12:45:22
188,seoni,22.0833,79.5333,86.86,33,57,6.04,IN,2023-06-07 12:45:22
189,mineral wells,32.8085,-98.1128,89.1,51,0,3.44,US,2023-06-07 12:45:23
190,cuyamel,15.6667,-88.2,94.01,62,86,6.29,HN,2023-06-07 12:45:23
191,kepsut,39.6889,28.1522,73.54,88,5,5.86,TR,2023-06-07 12:45:23
192,nar'yan-mar,67.6713,53.087,39.61,60,100,10.38,RU,2023-06-07 12:45:24
193,papao,-17.75,-149.55,74.88,65,76,20.29,PF,2023-06-07 12:45:24
194,rio grande,-32.035,-52.0986,78.91,76,94,5.79,BR,2023-06-07 12:45:24
195,weno,7.4515,151.8468,78.75,94,100,0.0,FM,2023-06-07 12:45:24
196,colonia,50.9333,6.95,71.85,75,76,4.61,DE,2023-06-07 12:40:41
197,jayapura,-2.5333,140.7,78.19,93,64,3.74,ID,2023-06-07 12:45:25
198,antigonish,45.6169,-61.9986,56.82,86,100,7.0,CA,2023-06-07 12:45:25
199,dolores,-36.3132,-57.6792,61.88,59,90,3.85,AR,2023-06-07 12:45:26
200,bardai,11.65,7.2333,72.95,71,100,13.76,NG,2023-06-07 12:45:26
201,cartagena del chaira,1.3349,-74.8429,86.4,56,58,3.98,CO,2023-06-07 12:45:26
202,genhe,50.7833,121.5167,46.49,98,100,4.47,CN,2023-06-07 12:45:27
203,dullewala,31.8359,71.4362,92.08,37,0,7.83,PK,2023-06-07 12:45:27
204,leh,34.1667,77.5833,47.41,62,85,2.82,IN,2023-06-07 12:45:27
205,thies,14.8342,-17.1061,86.65,51,0,17.27,SN,2023-06-07 12:45:28
206,port blair,11.6667,92.75,77.04,94,100,10.36,IN,2023-06-07 12:45:28
207,la mira tumbiscatio,18.6833,-102.2833,96.73,28,2,3.09,MX,2023-06-07 12:45:29
208,sinan,34.8262,126.1086,66.31,94,100,13.04,KR,2023-06-07 12:45:29
209,carutapera,-1.195,-46.02,81.55,86,18,7.36,BR,2023-06-07 12:45:29
210,lebu,-37.6167,-73.65,58.87,61,100,10.85,CL,2023-06-07 12:45:29
211,khandyga,62.6667,135.6,53.6,80,99,3.4,RU,2023-06-07 12:45:30
212,mossel bay,-34.1831,22.146,53.53,78,14,10.09,ZA,2023-06-07 12:45:30
213,santa cruz,-17.8,-63.1667,83.66,65,75,16.11,BO,2023-06-07 12:45:30
214,shenjiamen,29.9576,122.298,70.52,98,96,8.77,CN,2023-06-07 12:45:30
215,la'ie,21.6477,-157.9253,76.44,81,69,3.0,US,2023-06-07 12:45:31
216,kununurra,-15.7667,128.7333,67.98,77,51,2.3,AU,2023-06-07 12:45:31
217,naze,28.3667,129.4833,72.52,93,99,9.64,JP,2023-06-07 12:42:12
218,port douglas,-16.4833,145.4667,71.69,83,82,9.01,AU,2023-06-07 12:44:10
219,newman,37.3138,-121.0208,77.02,10,47,4.16,US,2023-06-07 12:41:53
220,kuanda,56.3161,116.0806,37.92,88,11,2.1,RU,2023-06-07 12:45:32
221,baie-comeau,49.2168,-68.1489,49.68,93,100,18.41,CA,2023-06-07 12:45:18
222,quelimane,-17.8786,36.8883,76.95,78,0,5.75,MZ,2023-06-07 12:45:32
223,peacehaven,50.7927,-0.0065,67.8,62,0,3.0,GB,2023-06-07 12:45:33
224,charters towers,-20.1,146.2667,58.68,91,66,7.9,AU,2023-06-07 12:45:33
225,al kharj,24.155,47.3346,100.98,15,17,6.51,SA,2023-06-07 12:45:33
226,hermanus,-34.4187,19.2345,58.8,79,79,9.04,ZA,2023-06-07 12:40:40
227,grand-bassam,5.2118,-3.7388,80.56,88,99,8.61,CI,2023-06-07 12:45:34
228,zhuanghe,39.7008,122.9911,64.47,92,100,10.27,CN,2023-06-07 12:45:34
229,kiama,-34.6833,150.8667,61.57,80,53,5.99,AU,2023-06-07 12:45:34
230,hirara,24.8,125.2833,78.66,94,20,10.36,JP,2023-06-07 12:45:35
231,yuxia,34.0615,108.6291,70.41,48,26,7.72,CN,2023-06-07 12:45:35
232,pemangkat,1.1667,108.9667,78.94,84,64,3.04,ID,2023-06-07 12:45:35
233,hongqiao,26.7684,112.1081,76.66,91,48,1.81,CN,2023-06-07 12:45:36
234,sidi ifni,29.3797,-10.173,89.35,68,100,3.11,MA,2023-06-07 12:45:36
235,aykhal,66.0,111.5,44.06,88,100,3.04,RU,2023-06-07 12:45:36
236,del rio,29.3627,-100.8968,90.23,58,0,10.36,US,2023-06-07 12:40:51
237,illizi,26.4833,8.4667,93.69,14,13,10.94,DZ,2023-06-07 12:45:37
238,taltal,-25.4,-70.4833,64.02,71,29,3.09,CL,2023-06-07 12:45:37
239,nikolayevka,53.1257,47.2041,56.98,74,59,6.11,RU,2023-06-07 12:45:37
240,east london,-33.0153,27.9116,61.74,67,0,17.27,ZA,2023-06-07 12:41:13
241,san andres,12.5847,-81.7006,89.62,70,20,10.36,CO,2023-06-07 12:45:38
242,al hawatah,13.4167,34.6333,87.78,47,86,0.54,SD,2023-06-07 12:45:38
243,glendive,47.1053,-104.7125,86.7,47,0,3.44,US,2023-06-07 12:45:38
244,nileshwar,12.25,75.1,82.8,78,79,2.46,IN,2023-06-07 12:45:38
245,karlskrona,56.1616,15.5866,70.25,67,0,5.12,SE,2023-06-07 12:45:39
246,bochum,51.4833,7.2167,71.37,77,56,4.0,DE,2023-06-07 12:45:39
247,akrehamn,59.2667,5.1833,56.21,76,0,19.57,NO,2023-06-07 12:45:39
248,necochea,-38.5473,-58.7368,61.29,39,23,10.31,AR,2023-06-07 12:45:39
249,osakarovka,50.565,72.5692,74.35,37,27,16.17,KZ,2023-06-07 12:45:40
250,karratha,-20.7377,116.8463,66.33,62,20,5.5,AU,2023-06-07 12:45:40
251,port alfred,-33.5906,26.891,61.18,89,0,5.01,ZA,2023-06-07 12:45:40
252,kangasniemi,61.9936,26.6479,57.22,53,80,6.82,FI,2023-06-07 12:45:40
253,zinjibar,13.1287,45.3807,89.91,65,24,5.12,YE,2023-06-07 12:45:41
254,west island,-12.1568,96.8225,78.78,78,40,23.02,CC,2023-06-07 12:45:41
255,brady,31.1352,-99.3351,85.35,54,75,4.61,US,2023-06-07 12:45:42
256,conde,-7.2597,-34.9075,83.66,70,75,12.66,BR,2023-06-07 12:45:43
257,tsiombe,-25.3,45.4833,70.34,90,3,10.33,MG,2023-06-07 12:41:32
258,alice springs,-23.7,133.8833,51.35,100,17,8.05,AU,2023-06-07 12:45:44
259,altay,47.8667,88.1167,71.55,34,18,7.94,CN,2023-06-07 12:45:44
260,sigli,5.3848,95.9609,79.5,79,93,5.28,ID,2023-06-07 12:45:44
261,vila franca do campo,37.7167,-25.4333,68.41,78,45,19.01,PT,2023-06-07 12:45:44
262,cavinti,14.2448,121.508,74.64,96,96,1.36,PH,2023-06-07 12:45:45
263,jamestown,42.097,-79.2353,67.51,33,75,17.27,US,2023-06-07 12:45:45
264,levuka,50.1834,-105.4011,82.11,61,75,10.36,CA,2023-06-07 12:45:45
265,crane,31.3974,-102.3501,81.5,42,98,5.19,US,2023-06-07 12:45:45
266,downpatrick,54.3263,-5.7035,60.3,73,34,5.95,GB,2023-06-07 12:45:46
267,issa,53.8705,44.8578,56.05,77,58,6.91,RU,2023-06-07 12:45:46
268,greenville,35.6127,-77.3663,73.35,68,100,0.0,US,2023-06-07 12:44:41
269,nelson bay,-32.7167,152.15,59.09,89,35,7.0,AU,2023-06-07 12:45:46
270,motygino,58.1831,94.7592,64.49,75,13,2.89,RU,2023-06-07 12:45:47
271,flin flon,54.7682,-101.865,76.84,50,20,6.91,CA,2023-06-07 12:37:54
272,geraldton,-28.7667,114.6,52.21,93,100,8.05,AU,2023-06-07 12:45:47
273,acarau,-2.8856,-40.12,83.82,73,20,14.27,BR,2023-06-07 12:42:56
274,cahors,44.4167,1.3333,72.25,71,95,7.07,FR,2023-06-07 12:45:48
275,enewetak,11.3474,162.3373,81.81,80,97,14.81,MH,2023-06-07 12:45:48
276,campina grande do sul,-25.3056,-49.0553,71.98,38,0,3.18,BR,2023-06-07 12:42:34
277,syktyvkar,61.6764,50.8099,49.91,57,0,7.0,RU,2023-06-07 12:45:48
278,kittila,67.6647,24.8936,48.61,66,100,4.61,FI,2023-06-07 12:45:49
279,malango,-2.9627,119.9001,62.29,76,52,2.93,ID,2023-06-07 12:45:49
280,hami,42.8,93.45,86.0,13,40,7.2,CN,2023-06-07 12:41:26
281,chui,-33.6971,-53.4616,63.19,87,100,7.7,UY,2023-06-07 12:45:50
282,shakawe,-18.3667,21.85,67.68,26,0,4.36,BW,2023-06-07 12:45:50
283,conduaga,8.862,117.4893,79.75,84,90,2.84,PH,2023-06-07 12:45:50
284,dhidhdhoo,6.8833,73.1,84.67,79,100,17.74,MV,2023-06-07 12:45:50
285,atar,20.5169,-13.0499,101.57,14,100,12.39,MR,2023-06-07 12:45:51
286,karukh,34.4811,62.5863,79.34,11,0,20.29,AF,2023-06-07 12:45:51
287,beira,-19.8436,34.8389,75.29,94,0,5.75,MZ,2023-06-07 12:45:51
288,walvis bay,-22.9575,14.5053,59.95,72,0,9.22,NA,2023-06-07 12:45:51
289,along,28.1667,94.7667,76.17,73,37,1.86,IN,2023-06-07 12:45:52
290,susuman,62.7833,148.1667,49.96,82,99,0.25,RU,2023-06-07 12:45:52
291,nagamangala,12.8156,76.7575,75.16,76,100,10.16,IN,2023-06-07 12:43:12
292,namibe,-15.1961,12.1522,65.46,78,6,8.72,AO,2023-06-07 12:45:52
293,tejen,37.3834,60.5054,90.54,19,72,14.27,TM,2023-06-07 12:45:53
294,el quebrachal,-25.2833,-64.0667,78.94,53,84,4.97,AR,2023-06-07 12:45:53
295,horta,38.5333,-28.6333,69.44,72,40,10.0,PT,2023-06-07 12:45:53
296,arno,60.1167,18.6333,52.92,59,14,10.98,SE,2023-06-07 12:45:54
297,fraga,41.5229,0.3489,76.91,55,100,12.86,ES,2023-06-07 12:45:54
298,labrador city,52.9463,-66.9114,39.11,93,100,16.11,CA,2023-06-07 12:45:13
299,abashiri,44.0213,144.2697,52.25,98,78,0.98,JP,2023-06-07 12:45:54
300,barberton,-25.7884,31.0532,68.09,55,0,2.86,ZA,2023-06-07 12:45:55
301,kiunga,-6.1219,141.2906,73.69,100,62,2.35,PG,2023-06-07 12:45:55
